id	phase	status	priority	title	depends	blocks	reads
F-CAT-001	1	done	P0	Seeded exercise catalogue		F-CAT-002, F-LOG-002	21-DATA-MODEL#exercises, 21-DATA-MODEL#seed-data, 10-VISION#risks
F-CAT-002	1	done	P0	Exercise model & tracking types	F-CAT-001	F-LOG-003	21-DATA-MODEL#exercises, 40-ANALYTICS-SPEC#universal-preconditions
F-CAT-003	1	done	P0	Custom exercises	F-CAT-002		21-DATA-MODEL#exercises
F-CAT-004	1	done	P0	Search	F-CAT-001		21-DATA-MODEL#exercises
F-CAT-005	1	done	P1	Filter by muscle and equipment	F-CAT-001		21-DATA-MODEL#exercises
F-CAT-006	2	planned	P1	Favourites and recency ordering	F-CAT-004		21-DATA-MODEL#exercises
F-CAT-007	2	planned	P1	Per-exercise sticky notes			21-DATA-MODEL#exercises
F-CAT-008	2	planned	P2	Aliases and synonyms	F-CAT-004		21-DATA-MODEL#exercises
F-CAT-009	2	planned	P1	Archive and hide			21-DATA-MODEL#exercises
F-CAT-010	—	idea	P2	Merge duplicate exercises			21-DATA-MODEL#exercises
F-CAT-011	—	idea	P3	Exercise media			21-DATA-MODEL#exercises
F-CAT-012	—	idea	P2	Substitution suggestions	F-CAT-013		21-DATA-MODEL#exercises
F-CAT-013	3	planned	P1	Muscle taxonomy and body map data		F-ANA-005, F-ANA-008, F-ANA-014	21-DATA-MODEL#exercises, 40-ANALYTICS-SPEC#3-hard-sets-per-muscle-group-per-week
F-CAT-014	—	idea	P3	Exercise variants and modifiers			21-DATA-MODEL#exercises
F-ROU-001	2	done	P0	Routine CRUD		F-ROU-002, F-ROU-010	21-DATA-MODEL#routine_days, 70-decisions/ADR-0004-template-snapshot
F-ROU-002	2	done	P0	Routine days	F-ROU-001		21-DATA-MODEL#routine_days, 70-decisions/ADR-0004-template-snapshot
F-ROU-003	2	done	P0	Exercise targets	F-ROU-002	F-PRG-001	21-DATA-MODEL#routine_days, 70-decisions/ADR-0004-template-snapshot
